order_ID,user_ID,sku_ID,order_date,order_time,quantity,type,promise,original_unit_price,final_unit_price,direct_discount_per_unit,quantity_discount_per_unit,bundle_discount_per_unit,coupon_discount_per_unit,gift_item,dc_ori,dc_des
4fac50f21d,c6f4680e53,904fbf8b97,2018/3/1,z 21:50:49,1,1,2,69.9,30.9,4,33,0,2,0,3,16
570599bf7c,6f47645aae,904fbf8b97,2018/3/1,z 10:18:39,1,1,2,69.9,34.9,4,31,0,0,0,33,3
9dbf5cb643,bbeae0a237,904fbf8b97,2018/3/1,z 03:27:38,1,1,2,69.9,31.9,4,32,0,2,0,3,33
46d8a83a8b,a7196367c4,904fbf8b97,2018/3/1,z 16:31:16,1,1,2,69.9,32.9,4,31,0,2,0,28,28
e5873f5b38,e4c03425ec,904fbf8b97,2018/3/1,z 12:04:14,1,1,1,69.9,31.9,4,32,0,2,0,3,16
49cbfb8fb7,0e9276aa33,904fbf8b97,2018/3/1,z 15:37:52,2,1,2,69.9,32.9,4,33,0,0,0,4,28
ae79445637,2474cb7df7,904fbf8b97,2018/3/1,z 14:39:09,1,1,2,69.9,32.9,4,33,0,0,0,4,28
feb5093045,9f7b89e123,904fbf8b97,2018/3/1,z 23:58:24,3,1,2,69.9,36.56666667,4,29.33333333,0,0,0,4,28
558ae63548,22a579ab9a,904fbf8b97,2018/3/1,z 06:07:11,1,1,2,69.9,33.9,4,32,0,0,0,64,64
1ce75fff26,22a579ab9a,904fbf8b97,2018/3/1,z 08:35:30,1,1,2,69.9,34.9,4,31,0,0,0,64,64
795d257e0d,2f93ed8d7a,904fbf8b97,2018/3/1,z 15:45:34,1,1,2,69.9,32.9,4,33,0,0,0,6,6
9b1ee0f224,4510f12833,904fbf8b97,2018/3/1,z 15:55:00,1,1,2,69.9,34.9,4,31,0,0,0,2,6
188b8660b1,811c129173,904fbf8b97,2018/3/1,z 08:49:14,1,1,2,69.9,33.9,4,32,0,0,0,6,6
fac1858eaa,7f05f3430a,904fbf8b97,2018/3/1,z 22:18:13,1,1,2,69.9,34.9,4,31,0,0,0,2,20
326c8bb207,129421ff29,904fbf8b97,2018/3/1,z 16:27:36,1,1,1,69.9,33.9,4,32,0,0,0,20,20
50f3f3011a,9db6f1adfc,904fbf8b97,2018/3/1,z 00:42:05,1,1,1,69.9,43.9,4,22,0,0,0,20,20
cc2dda92c2,202dab164f,904fbf8b97,2018/3/1,z 23:52:42,1,1,2,69.9,32.9,4,33,0,0,0,2,20
4fb60a56a2,b604bb07f1,904fbf8b97,2018/3/1,z 13:02:08,1,1,2,69.9,32.9,4,33,0,0,0,2,20
49b097d69d,ff687df941,904fbf8b97,2018/3/1,z 23:39:31,1,1,1,69.9,31.9,4,34,0,0,0,20,20
0dea6dbb57,6ea957f125,904fbf8b97,2018/3/1,z 12:49:19,1,1,2,69.9,31.9,4,32,0,2,0,2,20
efe0286deb,0741ca445c,904fbf8b97,2018/3/1,z 23:24:41,1,1,2,69.9,34.9,4,31,0,0,0,2,20
40ab94575c,c9a3e89e41,904fbf8b97,2018/3/1,z 21:31:56,1,1,2,69.9,32.9,4,33,0,0,0,2,20
4c86715d53,68bf3cc886,904fbf8b97,2018/3/1,z 21:22:19,1,1,2,69.9,30.2,4,32.9,0,2.8,0,2,20
e95e636af3,9d24825acc,904fbf8b97,2018/3/1,z 08:59:23,1,1,2,69.9,33.9,4,32,0,0,0,9,32
2593a3458a,aa9016968f,904fbf8b97,2018/3/1,z 12:06:05,1,1,2,69.9,32.9,4,33,0,0,0,9,32
1967c0a75d,41d7b6cbb0,904fbf8b97,2018/3/1,z 19:57:55,1,1,2,69.9,33.9,4,32,0,0,0,9,32
f00154ec02,cc5aa9263a,904fbf8b97,2018/3/1,z 01:32:02,1,1,2,69.9,36.9,4,29,0,0,0,32,32
22342c6e45,38e532b250,904fbf8b97,2018/3/1,z 16:48:19,1,1,2,69.9,33.9,4,32,0,0,0,9,32
f9dbb2fe38,7664b85458,904fbf8b97,2018/3/1,z 16:13:15,1,1,2,69.9,33.9,4,32,0,0,0,9,32
564476218a,0adcbf43de,904fbf8b97,2018/3/1,z 12:40:17,1,1,3,69.9,33.9,4,32,0,0,0,9,25
f053afe660,19addcc8bf,904fbf8b97,2018/3/1,z 20:37:18,1,1,1,69.9,32.9,4,33,0,0,0,7,7
f3f60a0cbf,f7364277a6,904fbf8b97,2018/3/1,z 23:13:12,1,1,2,69.9,33.9,4,32,0,0,0,2,2
ffd8b4c96d,ee27e30953,904fbf8b97,2018/3/1,z 18:58:28,1,1,2,69.9,37.9,4,28,0,0,0,7,8
77c31f6a0e,d0760f6f6b,904fbf8b97,2018/3/1,z 20:32:03,2,1,2,69.9,33.4,4,32.5,0,0,0,7,8
644bf39cc3,0a6fa95077,904fbf8b97,2018/3/1,z 15:20:57,1,1,2,69.9,32.9,4,33,0,0,0,7,62
0bd721d2ed,3dcb3436a4,904fbf8b97,2018/3/1,z 01:13:36,1,1,1,69.9,33.9,4,32,0,0,0,7,7
f656d9741d,dc6c7346fb,904fbf8b97,2018/3/1,z 16:43:23,2,1,2,69.9,32.8,4,33.1,0,0,0,7,39
510b18f3a6,4d6c7b3eff,904fbf8b97,2018/3/1,z 22:58:27,1,1,2,69.9,29.9,4,33,0,3,0,7,39
a2a4945d1b,ad9316d04f,904fbf8b97,2018/3/1,z 14:47:29,1,1,3,69.9,32.9,4,33,0,0,0,7,1
e3b731642c,3135c5ff84,904fbf8b97,2018/3/1,z 19:00:05,1,1,3,69.9,37.9,4,28,0,0,0,7,1
7729fc4c7b,15d630d237,904fbf8b97,2018/3/1,z 15:35:24,1,1,2,69.9,31.9,4,32,0,2,0,1,1
8caecf5c02,8a71a9c7d7,904fbf8b97,2018/3/1,z 11:05:24,1,1,2,69.9,34.9,4,31,0,0,0,39,39
1d7387ace7,ad7dd585e2,904fbf8b97,2018/3/1,z 19:15:48,1,1,3,69.9,32.9,4,33,0,0,0,7,1
b12779443b,ca6c8b7e6a,904fbf8b97,2018/3/1,z 23:18:27,3,1,2,69.9,29.9,4,32.66666667,0,3.333333333,0,7,1
112002d409,be5e52aba1,904fbf8b97,2018/3/1,z 10:41:17,1,1,4,69.9,33.9,4,32,0,0,0,7,39
924e004c6f,07f00b153f,904fbf8b97,2018/3/1,z 19:34:32,1,1,4,69.9,31.9,4,32,0,2,0,7,39
490bb78710,349ee4d97b,904fbf8b97,2018/3/1,z 09:02:35,1,1,2,69.9,32.9,4,33,0,0,0,9,9
